queue_rank,action_rank,tie_review_rank,needs_variant_review,missing_requirement_count,queue_priority_reason,job_doc_id,job_company,job_title,action,action_rationale,winner_resume,winner_score,winner_bucket,is_tie,tie_epsilon,runner_up_resume,runner_up_score,score_gap,passed_prefilter,filtered_out,winner_top_dims,winner_missing_requirements,winner_matched_terms,recommendation_summary
11,3,2,False,11,Low-priority hold.,https://job-boards.greenhouse.io/doordashusa/jobs/6103225,doordashusa,Data Scientist / Senior Data Scientist,SKIP_FOR_NOW,Winner score is too weak (0.546) for a confident application recommendation.,Sriram_Neelakantan_Applied_Scientist.pdf,0.546487,moderate,True,0.010000,Sriram_Neelakantan_Data_Scientist.pdf,0.546487,0.000000,13,1,"title_alignment=0.72/0.150, experimentation_depth=1.00/0.093, required_skills_alignment=0.35/0.090, tooling_alignment=0.67/0.062, analytics_ml_depth=0.50/0.058",chartio | cohort analyses | etl | funnel optimization | looker | matlab | regression models | sas | scripting | time series analyses | user segmentation,Data Scientist II | a/b testing | hypothesis testing | python | r | sql | tableau | experimentation,"Tie: Sriram_Neelakantan_Applied_Scientist.pdf and Sriram_Neelakantan_Data_Scientist.pdf are effectively equivalent for doordashusa | Data Scientist / Senior Data Scientist. Why: score gap is only 0.000, which is within the tie threshold of 0.010. Top-ranked variant by deterministic ordering: Sriram_Neelakantan_Applied_Scientist.pdf Equivalent backup variant: Sriram_Neelakantan_Data_Scientist.pdf Strongest matched terms: Data Scientist II, a/b testing, hypothesis testing, python, r, sql Main remaining gaps: chartio, cohort analyses, etl, funnel optimization, looker, matlab"
12,3,2,False,5,Low-priority hold.,https://job-boards.greenhouse.io/gusto/jobs/7679230,gusto,"Senior Analytics Engineer, Customer Experience",SKIP_FOR_NOW,Winner score is too weak (0.522) for a confident application recommendation.,Sriram_Neelakantan_Data_Scientist_Analytics.pdf,0.522440,moderate,True,0.010000,Sriram_Neelakantan_AI1.pdf,0.515114,0.007326,14,0,"analytics_ml_depth=1.00/0.116, required_skills_alignment=0.38/0.096, tooling_alignment=1.00/0.093, title_alignment=0.26/0.054, domain_relevance=0.50/0.047",api integrations | automated dashboards | capacity planning | elt pipelines | reports,forecasting | python | sql,"Tie: Sriram_Neelakantan_Data_Scientist_Analytics.pdf and Sriram_Neelakantan_AI1.pdf are effectively equivalent for gusto | Senior Analytics Engineer, Customer Experience. Why: score gap is only 0.007, which is within the tie threshold of 0.010. Top-ranked variant by deterministic ordering: Sriram_Neelakantan_Data_Scientist_Analytics.pdf Equivalent backup variant: Sriram_Neelakantan_AI1.pdf Strongest matched terms: forecasting, python, sql Main remaining gaps: api integrations, automated dashboards, capacity planning, elt pipelines, reports"
13,3,2,False,7,Low-priority hold.,https://boards.greenhouse.io/andurilindustries/jobs/4743827007?gh_jid=4743827007,andurilindustries,Senior Analytics Engineer,SKIP_FOR_NOW,Winner score is too weak (0.488) for a confident application recommendation.,Sriram_Neelakantan_Product_Data_Scientist.pdf,0.488369,moderate,False,0.010000,,,,1,13,"analytics_ml_depth=1.00/0.116, required_skills_alignment=0.36/0.093, tooling_alignment=0.80/0.074, domain_relevance=0.50/0.047, experimentation_depth=0.50/0.047",apache iceberg | athena | dbt | flyte | palantir foundry | redshift | sqlmesh,looker | python | sql | tableau,"Use: Sriram_Neelakantan_Product_Data_Scientist.pdf Why: highest deterministic match score (0.488) for andurilindustries | Senior Analytics Engineer. Strongest matched terms: looker, python, sql, tableau Main remaining gaps: apache iceberg, athena, dbt, flyte, palantir foundry, redshift"
14,3,2,False,8,Low-priority hold.,https://job-boards.greenhouse.io/doordashusa/jobs/7028089,doordashusa,Analytics Engineer,SKIP_FOR_NOW,Winner score is too weak (0.475) for a confident application recommendation.,Sriram_Neelakantan_Applied_Scientist.pdf,0.474860,moderate,True,0.010000,Sriram_Neelakantan_Data_Analyst.pdf,0.474860,0.000000,13,1,"analytics_ml_depth=1.00/0.116, experimentation_depth=1.00/0.093, required_skills_alignment=0.33/0.085, tooling_alignment=0.57/0.053, domain_relevance=0.50/0.047",great expectations | hive | looker | pydeequ | s3 | scala | sigma | trino,python | spark | sql | tableau | a/b testing,"Tie: Sriram_Neelakantan_Applied_Scientist.pdf and Sriram_Neelakantan_Data_Analyst.pdf are effectively equivalent for doordashusa | Analytics Engineer. Why: score gap is only 0.000, which is within the tie threshold of 0.010. Top-ranked variant by deterministic ordering: Sriram_Neelakantan_Applied_Scientist.pdf Equivalent backup variant: Sriram_Neelakantan_Data_Analyst.pdf Strongest matched terms: python, spark, sql, tableau, a/b testing Main remaining gaps: great expectations, hive, looker, pydeequ, s3, scala"
15,3,2,False,2,Low-priority hold.,https://cleerlyhealth.com/careers-board?gh_jid=5789202004,cleerlyhealth,Sr. Marketing Data Analyst,SKIP_FOR_NOW,Winner score is too weak (0.417) for a confident application recommendation.,Sriram_Neelakantan_Product_Data_Scientist.pdf,0.416610,weak,False,0.010000,Sriram_Neelakantan_Data_Analyst.pdf,0.389699,0.026911,14,0,"title_alignment=0.75/0.157, tooling_alignment=1.00/0.093, domain_relevance=0.50/0.047, experimentation_depth=0.50/0.047, preferred_skills_alignment=0.29/0.027",crm | data transformation,Data Analyst | looker | python | r | sql,"Use: Sriram_Neelakantan_Product_Data_Scientist.pdf Why: highest deterministic match score (0.417) for cleerlyhealth | Sr. Marketing Data Analyst. Best backup: Sriram_Neelakantan_Data_Analyst.pdf (score 0.390, gap 0.027). Strongest matched terms: Data Analyst, looker, python, r, sql Main remaining gaps: crm, data transformation"
16,3,2,False,17,Low-priority hold.,https://job-boards.greenhouse.io/doubleverify/jobs/8060829002,doubleverify,Sr. Data Scientist I - Rockerbox,SKIP_FOR_NOW,Winner score is too weak (0.387) for a confident application recommendation.,Sriram_Neelakantan_AI2.pdf,0.386981,weak,True,0.010000,Sriram_Neelakantan_AI1.pdf,0.382699,0.004282,2,12,"title_alignment=0.51/0.106, tooling_alignment=1.00/0.093, required_skills_alignment=0.19/0.049, domain_relevance=0.50/0.047, experimentation_depth=0.50/0.047",aws cloud technologies | bayesian techniques | budget optimization | campaign allocation | data wrangling | experimental design | marketing analytics concepts | matplotlib | measurement | numpyro | probabilistic programming libraries | pymc | scientific python stack | stan | statistical modeling | statistical testing | statsmodels,causal inference | numpy | pandas | sql,"Tie: Sriram_Neelakantan_AI2.pdf and Sriram_Neelakantan_AI1.pdf are effectively equivalent for doubleverify | Sr. Data Scientist I - Rockerbox. Why: score gap is only 0.004, which is within the tie threshold of 0.010. Top-ranked variant by deterministic ordering: Sriram_Neelakantan_AI2.pdf Equivalent backup variant: Sriram_Neelakantan_AI1.pdf Strongest matched terms: causal inference, numpy, pandas, sql Main remaining gaps: aws cloud technologies, bayesian techniques, budget optimization, campaign allocation, data wrangling, experimental design"
17,3,2,False,17,Low-priority hold.,https://consensys.io/open-roles/7335661?gh_jid=7335661,consensys,Senior Analytics Engineer,SKIP_FOR_NOW,Winner score is too weak (0.358) for a confident application recommendation.,Sriram_Neelakantan_AI1.pdf,0.358138,weak,True,0.010000,Sriram_Neelakantan_AI2.pdf,0.358138,0.000000,11,3,"required_skills_alignment=0.23/0.058, tooling_alignment=0.62/0.058, title_alignment=0.27/0.056, domain_relevance=0.50/0.047, experimentation_depth=0.50/0.047",ci/cd | data governance | data modeling | datahub | dbt | dimensional modeling | documentation | github actions | great expectations | lineage | looker | redshift | snowflake | snowflake schema | star schema | superset | version control,bigquery | power bi | python | sql | tableau,"Tie: Sriram_Neelakantan_AI1.pdf and Sriram_Neelakantan_AI2.pdf are effectively equivalent for consensys | Senior Analytics Engineer. Why: score gap is only 0.000, which is within the tie threshold of 0.010. Top-ranked variant by deterministic ordering: Sriram_Neelakantan_AI1.pdf Equivalent backup variant: Sriram_Neelakantan_AI2.pdf Strongest matched terms: bigquery, power bi, python, sql, tableau Main remaining gaps: ci/cd, data governance, data modeling, datahub, dbt, dimensional modeling"
18,3,2,False,0,Low-priority hold.,https://boards.greenhouse.io/accenturefederalservices/jobs/4628914006?gh_jid=4628914006,accenturefederalservices,AI / ML Engineer,SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",,machine learning engineer,No credible resume match: all resume variants failed deterministic prefilter for accenturefederalservices | AI / ML Engineer. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: machine learning engineer Main remaining gaps: none explicitly identified.
19,3,2,False,0,Low-priority hold.,https://boards.greenhouse.io/andurilindustries/jobs/5034660007?gh_jid=5034660007,andurilindustries,"Machine Learning Engineer, Quality Analytics",SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",,machine learning engineer,"No credible resume match: all resume variants failed deterministic prefilter for andurilindustries | Machine Learning Engineer, Quality Analytics. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: machine learning engineer Main remaining gaps: none explicitly identified."
20,3,2,False,0,Low-priority hold.,https://boards.greenhouse.io/andurilindustries/jobs/4927589007?gh_jid=4927589007,andurilindustries,"Senior Machine Learning Engineer, Sentry Tower",SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",,machine learning engineer | machine learning,"No credible resume match: all resume variants failed deterministic prefilter for andurilindustries | Senior Machine Learning Engineer, Sentry Tower. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: machine learning engineer, machine learning Main remaining gaps: none explicitly identified."
21,3,2,False,0,Low-priority hold.,https://boards.greenhouse.io/andurilindustries/jobs/4985350007?gh_jid=4985350007,andurilindustries,"Senior Master Data Analyst, Supply Chain",SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",,excel | python | r | sql | tableau,"No credible resume match: all resume variants failed deterministic prefilter for andurilindustries | Senior Master Data Analyst, Supply Chain. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: excel, python, r, sql, tableau Main remaining gaps: none explicitly identified."
22,3,2,False,0,Low-priority hold.,https://boards.greenhouse.io/appliedintuition/jobs/4662452005?gh_jid=4662452005,appliedintuition,"Research Scientist - 3D Vision and Generation, Self-Driving",SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",,machine learning | python | pytorch,"No credible resume match: all resume variants failed deterministic prefilter for appliedintuition | Research Scientist - 3D Vision and Generation, Self-Driving. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: machine learning, python, pytorch Main remaining gaps: none explicitly identified."
23,3,2,False,0,Low-priority hold.,https://www.asana.com/jobs/apply/7555480?gh_jid=7555480,asana,Data Scientist,SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",,Data Scientist II,No credible resume match: all resume variants failed deterministic prefilter for asana | Data Scientist. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: Data Scientist II Main remaining gaps: none explicitly identified.
24,3,2,False,0,Low-priority hold.,https://job-boards.greenhouse.io/cresta/jobs/5155675008,cresta,Senior Machine Learning Engineer - Automatic Speech Recognition (ASR),SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",,machine learning,No credible resume match: all resume variants failed deterministic prefilter for cresta | Senior Machine Learning Engineer - Automatic Speech Recognition (ASR). Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: machine learning Main remaining gaps: none explicitly identified.
25,3,2,False,0,Low-priority hold.,https://job-boards.greenhouse.io/doordashusa/jobs/6518016,doordashusa,Machine Learning Engineer - New Verticals - Search & Recommendations,SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",,deep learning | machine learning | python | pytorch | statistics,"No credible resume match: all resume variants failed deterministic prefilter for doordashusa | Machine Learning Engineer - New Verticals - Search & Recommendations. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: deep learning, machine learning, python, pytorch, statistics Main remaining gaps: none explicitly identified."
26,3,2,False,0,Low-priority hold.,https://jobs.dropbox.com/listing/7536371?gh_jid=7536371,dropbox,"People Team Data Analyst, Talent Acquisition",SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",,excel | python | r | sql | tableau,"No credible resume match: all resume variants failed deterministic prefilter for dropbox | People Team Data Analyst, Talent Acquisition. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: excel, python, r, sql, tableau Main remaining gaps: none explicitly identified."
27,3,2,False,0,Low-priority hold.,https://www.pinterestcareers.com/jobs/?gh_jid=7642265,pinterest,"Machine Learning Engineer, tvScientific",SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",,machine learning engineer,"No credible resume match: all resume variants failed deterministic prefilter for pinterest | Machine Learning Engineer, tvScientific. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: machine learning engineer Main remaining gaps: none explicitly identified."
28,3,2,False,0,Low-priority hold.,https://www.pinterestcareers.com/jobs/?gh_jid=7642268,pinterest,"Sr. Machine Learning Engineer, tvScientific",SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",,machine learning engineer,"No credible resume match: all resume variants failed deterministic prefilter for pinterest | Sr. Machine Learning Engineer, tvScientific. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: machine learning engineer Main remaining gaps: none explicitly identified."
29,3,2,False,1,Low-priority hold.,https://consensys.io/open-roles/7461446?gh_jid=7461446,consensys,Onchain Data Analyst,SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",google sheets,Data Analyst II | excel,"No credible resume match: all resume variants failed deterministic prefilter for consensys | Onchain Data Analyst. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: Data Analyst II, excel Main remaining gaps: google sheets"
