term,count,raw_examples,already_in_common_skills,already_in_analytics_ml_signals,already_in_tooling_signals,candidate_common_skill,candidate_analytics_ml_signal,candidate_tooling_signal,candidate_baseline_families
html,6,' html',False,False,False,True,False,False,
machine learning algorithms,6,' machine learning algorithms',False,False,False,True,True,False,model_development_basics
manager,6,' manager',False,False,False,True,False,False,
net,6,['.net' | '.net',False,False,False,True,False,False,
predictive modeling,6,' predictive modeling'] | ' predictive modeling' | 'predictive modeling' | ['predictive modeling',False,False,False,True,True,False,
pyspark,6,' pyspark' | ' pyspark'] | 'pyspark',False,False,False,True,False,False,
regression,6,' regression',True,True,False,False,False,False,
scipy,6,' scipy',False,False,False,True,False,False,
scrum,6,' scrum',False,False,False,True,False,False,
ups,6,' ups' | ' ups'],False,False,False,True,False,False,
css,5,' css',False,False,False,True,False,False,
intern,5,' intern' | ['intern',False,False,False,True,False,False,
logistic regression,5,' logistic regression',False,False,False,True,True,False,classical_ml_methods
operations research,5,['operations research' | ' operations research',False,False,False,True,False,False,
ruby,5,' ruby' | ' ruby'],False,False,False,True,False,False,
scikit-learn,5,' scikit.learn' | ' scikit-learn' | ' sklearn',True,False,False,False,False,True,
shell scripting,5,'shell scripting' | ' shell scripting',False,False,False,True,False,False,
spss,5,' spss',False,False,False,True,False,False,
statistical modeling,5,['statistical modeling' | ' statistical modeling',True,True,False,False,False,False,
supply chain,5,' supply chain' | ' supply chain'] | ['supply chain',False,False,False,True,False,False,
visualization,5,' visualization',False,False,False,True,False,False,
analytical skills,4,' analytical skills',False,False,False,True,False,False,
asp,4,' asp',False,False,False,True,False,False,
asp net,4,' asp.net',False,False,False,True,False,False,
bayesian hierarchical modeling,4,' bayesian hierarchical modeling',False,False,False,True,True,False,
cassandra,4,' cassandra',False,False,False,True,False,False,
cloud,4,' cloud',False,False,False,True,False,False,
cognos,4,' cognos',False,False,False,True,False,False,
data visualization,4,' data visualization',False,False,False,True,False,False,
econometrics,4,' econometrics',False,False,False,True,False,False,
embedded,4,' embedded',False,False,False,True,False,False,
experimental design,4,' experimental design'],True,False,False,False,False,False,
git,4,' git',True,False,True,False,False,False,version_control
hardware,4,' hardware',False,False,False,True,False,False,
hbase,4,' hbase',False,False,False,True,False,False,
hypothesis testing,4,' hypothesis testing',True,False,False,False,True,False,
ibm,4,' ibm',False,False,False,True,False,False,
jquery,4,' jquery',False,False,False,True,False,False,
keras,4,' keras',False,False,False,True,False,False,
mapreduce,4,' mapreduce',False,False,False,True,False,False,
marketing,4,' marketing' | 'marketing',False,False,False,True,False,False,
model building,4,' model building',False,False,False,True,True,False,
model diagnostics,4,,False,False,False,True,True,False,
ms office,4,' ms office',False,False,False,True,False,False,
nlp - data science,4,' nlp - data science',False,False,False,True,False,False,
olap,4,' olap',False,False,False,True,False,False,
pig,4,' pig'] | ' pig',False,False,False,True,False,False,
recruiter,4,' recruiter',False,False,False,True,False,False,
regressions,4,' regressions',False,False,False,True,False,False,
rest,4,' rest',False,False,False,True,False,False,
risk management,4,' risk management'] | ' risk management',False,False,False,True,False,False,
solr,4,' solr'] | ' solr',False,False,False,True,False,False,
statistical diagnostics,4,,False,False,False,True,True,False,
statistical diagnostics of models,4,' statistical diagnostics of models',False,False,False,True,True,False,
statistical regression,4,' statistical regression',False,False,False,True,True,False,
supervision,4,' supervision'] | ' supervision',False,False,False,True,False,False,
analytical,3,' analytical',False,False,False,True,False,False,
applied research,3,' applied research' | ['applied research',False,False,False,True,False,False,
automation,3,' automation' | ' automation'],False,False,False,True,False,False,
bi,3,['bi' | ' bi'],False,False,False,True,False,False,
bigdata,3,' bigdata' | 'bigdata'],False,False,False,True,False,False,
biostatistics,3,' biostatistics'] | ['biostatistics',False,False,False,True,False,False,
claims,3,' claims' | ['claims'],False,False,False,True,False,False,
critical thinking,3,' critical thinking' | ' critical thinking ',False,False,False,True,False,False,
data engineer,3,' data engineer',False,False,False,True,False,False,
data engineering,3,'data engineering' | ' data engineering',False,False,False,True,False,False,
data scientist,3,,False,False,False,True,False,False,
elasticsearch,3,' elasticsearch'] | ' elasticsearch',False,False,False,True,False,False,
gcp,3,' gcp',False,False,True,True,False,False,
gis,3,' gis',False,False,False,True,False,False,
go,3,' go'] | ' go',False,False,False,True,False,False,
golang,3,' golang' | ' golang'],False,False,False,True,False,False,
hdfs,3,' hdfs',False,False,False,True,False,False,
image processing,3,' image processing' | ' image processing'],False,False,False,True,False,False,
information retrieval,3,' information retrieval',False,False,False,True,False,False,
it,3,' it',False,False,False,True,False,False,
marketing analytics,3,['marketing analytics',False,False,False,True,False,False,
node js,3,' node.js',False,False,False,True,False,False,
predictive model,3,' predictive model'] | ' predictive model',False,False,False,True,True,False,
r,3,,True,False,True,False,False,False,
random forest,3,random forest | ' random forests' | ' random forest',True,True,False,False,False,False,classical_ml_methods
reporting,3,'reporting ',False,False,False,True,False,False,
sap,3,' sap',False,False,False,True,False,False,
scikit,3,' scikit',False,False,False,True,False,False,
slq,3,' slq' | ' slq'],False,False,False,True,False,False,
soap,3,' soap'] | ' soap',False,False,False,True,False,False,
tdd,3,' tdd',False,False,False,True,False,False,
vba,3,' vba'] | ' vba',False,False,False,True,False,False,
wireless,3,' wireless'],False,False,False,True,False,False,
access,2,['access',False,False,False,True,False,False,
adobe marketing suite,2,' adobe marketing suite',False,False,False,True,False,False,
adtech,2,' adtech',False,False,False,True,False,False,
advertising analytics,2,,False,False,False,True,False,False,
agile environment,2,' agile environment',False,False,False,True,False,False,
ai - data scientist,2,' ai - data scientist',False,False,False,True,False,False,
algorithmic development,2,' algorithmic development',False,False,False,True,False,False,
anaconda,2,' anaconda'],False,False,False,True,False,False,
android,2,' android',False,False,False,True,False,False,
apache spark - python,2,' apache spark - python',False,False,False,True,False,True,
avionics,2,' avionics',False,False,False,True,False,False,
aws- azure,2,' aws- azure',False,False,False,True,False,True,
bash,2,' bash',False,False,False,True,False,False,
bayesian inference,2,' bayesian inference',True,False,False,False,True,False,
big data management/concepts,2,' big data management/concepts',False,False,False,True,False,False,
bigquery,2,' bigquery',True,False,True,False,False,False,
biomedical,2,' biomedical'],False,False,False,True,False,False,
business process analysis,2,['business process analysis',False,False,False,True,False,False,
c,2,,False,False,False,True,False,False,
c++ - operations research,2,' c++ - operations research',False,False,False,True,False,False,
celery,2,' celery'],False,False,False,True,False,False,
civil,2,['civil' | ' civil',False,False,False,True,False,False,
clustering algorithms,2,' clustering algorithms',False,False,False,True,False,False,classical_ml_methods
computer science,2,' computer science',False,False,False,True,False,False,
concepts,2,,False,False,False,True,False,False,
data architecture,2,' data architecture',False,False,False,True,False,False,
data modeling for analytics,2,' data modeling for analytics',False,False,False,True,True,False,
data pipelining,2,' data pipelining',False,False,False,True,False,False,
data visualizations and reporting,2,' data visualizations & reporting',False,False,False,True,False,False,
datarobot,2,datarobot | ' datarobot',False,False,False,True,False,False,
db2,2,' db2',False,False,False,True,False,False,
dce,2,' dce',False,False,False,True,False,False,
deep learning networks,2,' deep learning networks',False,False,False,True,True,False,model_development_basics
distribution,2,' distribution',False,False,False,True,False,False,
django,2,' django',False,False,False,True,False,False,
documentation,2,' documentation',False,False,False,True,False,False,
ec2,2,'ec2',False,False,False,True,False,False,
emr,2,' emr',False,False,False,True,False,False,
engineer,2,' engineer',False,False,False,True,False,False,
environmental,2,' environmental',False,False,False,True,False,False,
experimental design - sql,2,' experimental design - sql',False,False,False,True,False,True,
glm,2,' glm',False,False,False,True,False,False,
google,2,' google',False,False,False,True,False,False,
google analytics,2,' google analytics',False,False,False,True,False,False,
gpu,2,' gpu',False,False,False,True,False,False,
image analytics,2,' image analytics'],False,False,False,True,False,False,
informatica,2,' informatica' | ' informatica'],False,False,False,True,False,False,
iterative,2,' iterative',False,False,False,True,False,False,
jenkins,2,' jenkins',False,False,False,True,False,False,
lead generation,2,' lead generation',False,False,False,True,False,False,
leadership,2,' leadership',False,False,False,True,False,False,
linux os,2,' linux os',False,False,False,True,False,False,
machine learning models,2,' machine learning models',False,False,False,True,True,False,model_development_basics
machine-learning,2,' machine-learning' | ['machine-learning',False,False,False,True,False,False,
marketing/advertising analytics,2,' marketing/advertising analytics',False,False,False,True,False,False,
masters or phd,2,' masters or phd',False,False,False,True,False,False,
mathematics,2,' mathematics',False,False,False,True,False,False,
micro,2,' micro',False,False,False,True,False,False,
mixed effects,2,' mixed effects',False,False,False,True,False,False,
model development experience,2,' model development experience',False,False,False,True,True,False,
modeler,2,' modeler',False,False,False,True,False,False,
network planning,2,' network planning',False,False,False,True,False,False,
neural network,2,neural network | ' neural network.'],False,False,False,True,False,False,
neural networks,2,' neural networks',False,False,False,True,False,False,
object oriented programming,2,['object oriented programming' | ' object oriented programming',False,False,False,True,False,False,
oop,2,' oop',False,False,False,True,False,False,
php,2,' php',False,False,False,True,False,False,
pre-sales engineering,2,' pre-sales engineering',False,False,False,True,False,False,
presentation skills,2,' presentation skills'],False,False,False,True,False,False,
pricing,2,' pricing',False,False,False,True,False,False,
process improvement,2,' process improvement',False,False,False,True,False,False,
programming in r,2,' programming in r' | ['programming in r',False,False,False,True,False,True,
project management,2,' project management',False,False,False,True,False,False,
python or java,2,' python or java',False,False,False,True,False,True,
python or r,2,' python or r'] | ['python or r',False,False,False,True,False,True,
python tools,2,' python tools',False,False,False,True,False,True,
quantitative modeling,2,' quantitative modeling',False,False,False,True,True,False,
rds,2,' rds',False,False,False,True,False,False,
recommender systems,2,' recommender systems',False,False,False,True,False,False,
reengineering,2,' reengineering',False,False,False,True,False,False,
regression/logistic regression,2,' regression/logistic regression'],False,False,False,True,True,False,classical_ml_methods
regression/logistic regression - sas,2,' regression/logistic regression - sas',False,False,False,True,True,True,classical_ml_methods
release,2,' release',False,False,False,True,False,False,
restful apis,2,' restful apis',False,False,False,True,False,False,
rwd,2,' rwd'],False,False,False,True,False,False,
salesforce marketing suite,2,' salesforce marketing suite',False,False,False,True,False,False,
sas enterprise miner,2,' sas enterprise miner'],False,False,False,True,False,True,
sas programming,2,['sas programming',False,False,False,True,False,True,
sas/stat,2,' sas/stat',False,False,False,True,False,True,
scientist,2,' scientist',False,False,False,True,False,False,
software,2,' software',False,False,False,True,False,False,
spacy,2,' spacy',False,False,False,True,False,False,
ssps modeler experience,2,' ssps modeler experience',False,False,False,True,False,False,
stat,2,,False,False,False,True,False,False,
stata,2,' stata',False,False,False,True,False,False,
statistical modelers,2,' statistical modelers',False,False,False,True,True,False,
structured,2,' structured',False,False,False,True,False,False,
supply chain management,2,' supply chain management'],False,False,False,True,False,False,
tableau - python,2,' tableau - python',False,False,False,True,False,True,
travel,2,,False,False,False,True,False,False,
u s airline,2,' u.s. airline',False,False,False,True,False,False,
u s travel agency,2,' u.s. travel agency',False,False,False,True,False,False,
underwriting,2,' underwriting',False,False,False,True,False,False,
version control,2,' version control'],True,False,True,False,False,False,version_control
virtual environments,2,' virtual environments',False,False,False,True,False,False,
visual basic,2,' visual basic'],False,False,False,True,False,False,
windows,2,' windows'] | ' windows',False,False,False,True,False,False,
xgboost,2,' xgboost',False,False,False,True,True,False,classical_ml_methods
xml,2,' xml' | ' xml'],False,False,False,True,False,False,
yield management,2,' yield management',False,False,False,True,False,False,
accumulo,1,' accumulo',False,False,False,True,False,False,
administration,1,['administration'],False,False,False,True,False,False,
adobe,1,['adobe',False,False,False,True,False,False,
agile work environment,1,' agile work environment'],False,False,False,True,False,False,
ai - r,1,' ai - r',False,False,False,True,False,True,
ai and cognitive technology,1,' ai & cognitive technology',False,False,False,True,False,False,
ai and ml models,1,' ai and ml models',False,False,False,True,False,False,
ai ml,1,' ai.ml',False,False,False,True,False,False,
ai/ml,1,' ai/ml',False,False,False,True,False,False,
airline contracting,1,' airline contracting'],False,False,False,True,False,False,
algorithms - machine learning,1,' algorithms - machine learning',False,False,False,True,True,False,model_development_basics
amazon web services,1,' amazon web services'],False,False,False,True,False,False,
anaconda - python,1,' anaconda - python',False,False,False,True,False,True,
analysis service ssas,1,' analysis service (ssas)',False,False,False,True,False,False,
analytical techniques,1,['analytical techniques',False,False,False,True,False,False,
and application development,1,' and application development'],False,False,False,True,False,False,
and scala,1,' and scala'],False,False,False,True,False,False,
and supervised algorithms,1,' and supervised algorithms.'],False,False,False,True,False,False,
and/or business strategy developm,1,' and/or business strategy developm'],False,False,False,True,False,False,
ansible,1,' ansible',False,False,False,True,False,False,
apache hadoop,1,' apache hadoop',False,False,False,True,False,False,
apache zeppelin,1,' apache zeppelin',False,False,False,True,False,False,
applied mathematics,1,' applied mathematics',False,False,False,True,False,False,
architect,1,['architect',False,False,False,True,False,False,
artificial-intelligence,1,' artificial-intelligence'],False,False,False,True,False,False,
asset management,1,,False,False,False,True,False,False,
asset mgmt/electronic trading,1,' asset mgmt/electronic trading',False,False,False,True,False,False,
astronomy,1,' astronomy',False,False,False,True,False,False,
atlassian,1,' atlassian'],False,False,False,True,False,False,
automation - machine learning,1,' automation - machine learning',False,False,False,True,True,False,model_development_basics
aws cloud services ec2,1,['aws cloud services: ec2',False,False,False,True,False,True,
azure - data science,1,' azure - data science',False,False,False,True,False,True,
azure cloud engineer,1,['azure cloud engineer'],False,False,False,True,False,True,
azure machine learning,1,' azure machine learning',False,False,False,True,True,True,model_development_basics
azure ml,1,,False,False,False,True,False,True,
azure sql data warehouse,1,' azure sql data warehouse',False,False,False,True,False,True,
backend coding,1,' backend coding',False,False,False,True,False,False,
bash/shell,1,' bash/shell',False,False,False,True,False,False,
bayesian-statistics,1,' bayesian-statistics',False,False,False,True,True,False,
benchmark,1,' benchmark',False,False,False,True,False,False,
bi dashboards,1,['bi dashboards',False,False,False,True,False,False,
bi engineer/data scientist,1,['bi engineer/data scientist'],False,False,False,True,False,False,
big data ecosystem,1,' big data ecosystem',False,False,False,True,False,False,
big data science,1,['big data science',False,False,False,True,False,False,
big data storage,1,' big data storage',False,False,False,True,False,False,
big data/hadoop,1,['big data/hadoop',False,False,False,True,False,False,
bigtable,1,' bigtable',False,False,False,True,False,False,
bioinformatics,1,' bioinformatics',False,False,False,True,False,False,
biology,1,' biology',False,False,False,True,False,False,
biomedical - data science,1,' biomedical - data science',False,False,False,True,False,False,
biostatistics - r,1,' biostatistics - r',False,False,False,True,False,True,
bitbucket,1,' bitbucket',False,False,False,True,False,True,version_control
blueprint,1,' blueprint',False,False,False,True,False,False,
bs/ms in computer science,1,['bs/ms in computer science',False,False,False,True,False,False,
building predictive models,1,' building predictive models'],False,False,False,True,False,False,
business analyst,1,['business analyst'],False,False,False,True,False,False,
business concepts,1,' business concepts',False,False,False,True,False,False,
business intelligence engineer iii,1,['business intelligence engineer iii'],False,False,False,True,False,False,
business services general,1,['business services general'],False,False,False,True,False,False,
business strategy,1,,False,False,False,True,False,False,
c/c++,1,' c/c++'],False,False,False,True,False,False,
c/c++ - data scientist,1,' c/c++ - data scientist',False,False,False,True,False,False,
caboodle,1,caboodle'],False,False,False,True,False,False,
caffe,1,' caffe',False,False,False,True,False,False,
cd,1,,False,False,False,True,False,False,
celery - java,1,' celery - java',False,False,False,True,False,False,
cfa,1,['cfa'],False,False,False,True,False,False,
cfa a plus,1,' cfa a plus'],False,False,False,True,False,False,
cgi,1,' cgi',False,False,False,True,False,False,
chaid,1,' chaid',False,False,False,True,False,False,
change management,1,' change management',False,False,False,True,False,False,
chef,1,' chef'],False,False,False,True,False,False,
chief data scientist,1,['chief data scientist'],False,False,False,True,False,False,
ci,1,,False,False,False,True,False,False,
ci/cd/ci-cd/continuous integration/continuous deployment/jenkins,1,' ci/cd/ci-cd/continuous integration/continuous deployment/jenkins',False,False,False,True,False,False,
cigo,1,cigo,False,False,False,True,False,False,
cisco,1,' cisco',False,False,False,True,False,False,
claims data,1,' claims data',False,False,False,True,False,False,
cloud enablement/deployment,1,' cloud enablement/deployment',False,False,False,True,False,False,
cloud/analytics,1,' cloud/analytics',False,False,False,True,False,False,
cloudbase,1,' cloudbase',False,False,False,True,False,False,
cloundera,1,' cloundera',False,False,False,True,False,False,
clustering,1,' clustering ',False,False,False,True,False,False,classical_ml_methods
cnn,1,' cnn',False,False,False,True,False,False,
cognitive technology,1,,False,False,False,True,False,False,
comprehend,1,' comprehend'],False,False,False,True,False,False,
computational physics,1,' computational physics'],False,False,False,True,False,False,
computer,1,' computer',False,False,False,True,False,False,
computer engineering,1,' computer engineering',False,False,False,True,False,False,
computer vision,1,['computer vision',False,True,False,True,False,False,
continuous deployment,1,,False,False,False,True,False,False,
continuous integration,1,,False,False,False,True,False,False,
corenlp,1,' corenlp'],False,False,False,True,False,False,
couchbase programming,1,' couchbase programming',False,False,False,True,False,False,
cplex,1,' cplex',False,False,False,True,False,False,
creating large datasets,1,' creating large datasets',False,False,False,True,False,False,
crm - python,1,' crm - python',False,False,False,True,False,True,
customer service,1,' customer service',False,False,False,True,False,False,
data architect,1,,False,False,False,True,False,False,
data architect - r,1,['data architect - r',False,False,False,True,False,True,
data design,1,' data design',False,False,False,True,False,False,
data management systems,1,' data management systems'],False,False,False,True,False,False,
data manipulation,1,,False,False,False,True,False,False,
data manipulation/wrangling,1,' data manipulation/wrangling',False,False,False,True,False,False,
data modelling,1,' data modelling',False,False,False,True,False,False,
data pipelines,1,'data pipelines',False,False,False,True,False,False,
data science - python,1,' data science - python',False,False,False,True,False,True,
data science analytics networks machine learning tensorflow,1,['data science analytics networks machine learning tensorflow'],False,False,False,True,True,True,model_development_basics
data science python,1,['data science python',False,False,False,True,False,True,
data science/ai/machine learning,1,'data science/ai/machine learning'],False,False,False,True,True,False,model_development_basics
data sciences,1,' data sciences',False,False,False,True,False,False,
data scientist machine learning,1,['data scientist machine learning'],False,False,False,True,True,False,model_development_basics
data sets,1,data sets'],False,False,False,True,False,False,
data streaming,1,'data streaming',False,False,False,True,False,False,
data warehouse reporting,1,' data warehouse reporting'],False,False,False,True,False,False,
data warehousing,1,'data warehousing',False,False,False,True,False,False,
data wrangling,1,,False,False,False,True,False,False,
data-science,1,['data-science',False,False,False,True,False,False,
database concepts,1,,False,False,False,True,False,False,
database concepts and sql,1,' database concepts and sql',False,False,False,True,False,True,
datawarehouse,1,'datawarehouse',False,False,False,True,False,False,
dax,1,' dax',False,False,False,True,False,False,
dba,1,' dba',False,False,False,True,False,False,
decision tree,1,decision tree,False,False,False,True,False,False,classical_ml_methods
deployment,1,,False,False,False,True,False,False,
design,1,design,False,False,False,True,False,False,
development java,1,' development(java)',False,False,False,True,False,False,
devops,1,' devops',False,False,False,True,False,False,
digital analytics,1,' digital analytics',False,False,False,True,False,False,
digital marketing,1,['digital marketing',False,False,False,True,False,False,
direct analytics,1,['direct analytics',False,False,False,True,False,False,
distributed computing,1,' distributed computing'],False,False,False,True,False,False,
docker,1,' docker',False,False,True,True,False,False,
domino,1,['domino',False,False,False,True,False,False,
dynamic pricing,1,['dynamic pricing',False,False,False,True,False,False,
dynamodb,1,' dynamodb'],False,False,False,True,False,False,
ecommerce,1,' ecommerce',False,False,False,True,False,False,
elastic search,1,' elastic search',False,False,False,True,False,False,
electronic trading,1,,False,False,False,True,False,False,
enablement,1,,False,False,False,True,False,False,
engineering,1,' engineering',False,False,False,True,False,False,
enterprise architect,1,['enterprise architect',False,False,False,True,False,False,
epic,1,epic,False,False,False,True,False,False,
erp,1,' erp',False,False,False,True,False,False,
erwin,1,' erwin',False,False,False,True,False,False,
erwin r7 0,1,['erwin r7.0',False,False,False,True,False,False,
etl development,1,['etl development',False,False,False,True,False,False,
experience with machine learning,1,['experience with machine learning',False,False,False,True,True,False,model_development_basics
extract,1,extract,False,False,False,True,False,False,
finance,1,['finance ',False,False,False,True,False,False,
financial data experience,1,['financial data experience',False,False,False,True,False,False,
financial experience,1,' financial experience'],False,False,False,True,False,False,
financial industry,1,['financial industry',False,False,False,True,False,False,
fintech,1,' fintech',False,False,False,True,False,False,
fintech exp,1,['fintech exp'],False,False,False,True,False,False,
flash,1,' flash',False,False,False,True,False,False,
forecast,1,['forecast',False,False,False,True,True,False,
full funnel analytics,1,' full funnel analytics'],False,False,False,True,False,False,
full stack,1,['full stack',False,False,False,True,False,False,
genetics,1,' genetics',False,False,False,True,False,False,
golang - spark,1,' golang - spark',False,False,False,True,False,True,
graphics,1,' graphics',False,False,False,True,False,False,
h2o,1,,False,False,False,True,False,False,
h2o or azure ml,1,' h2o or azure ml',False,False,False,True,False,True,
hadoop - data,1,' hadoop - data',False,False,False,True,False,False,
hadoop framework,1,hadoop framework'],False,False,False,True,False,False,
hadoop hbase,1,' hadoop hbase',False,False,False,True,False,False,
hdfs/ hive/ impala,1,['hdfs/ hive/ impala',False,False,False,True,False,False,
healthcare,1,' healthcare',False,False,False,True,False,False,
healthcare analytics,1,' healthcare analytics',False,False,False,True,False,False,
hiin analyst,1,['hiin analyst',False,False,False,True,False,False,
hive - python,1,' hive - python',False,False,False,True,False,True,
id,1,id,False,False,False,True,False,False,
ieor,1,' ieor'],False,False,False,True,False,False,
image analytics - python,1,' image analytics - python',False,False,False,True,False,True,
impala,1,,False,False,False,True,False,False,
including distributions,1,' including distributions',False,False,False,True,False,False,
including python,1,' including python',False,False,False,True,False,True,
infrastructure design,1,,False,False,False,True,False,False,
infrastructure/platform design,1,' infrastructure/platform design',False,False,False,True,False,False,
insurance,1,' insurance'],False,False,False,True,False,False,
integration service ssis,1,' integration service (ssis)',False,False,False,True,False,False,
iterative development,1,' iterative development',False,False,False,True,False,False,
java or c++,1,' java or c++'],False,False,False,True,False,False,
jda software,1,' jda software'],False,False,False,True,False,False,
jdbc,1,' jdbc',False,False,False,True,False,False,
kafka,1,['kafka',False,False,False,True,False,False,
kaggle,1,' kaggle',False,False,False,True,False,False,
